Bradley Beal,17,20.04,-0.5908,2.2574,1.5205,2.1322,-0.4398,1.4047,0.5618,-0.3652,-1.979,"Westbrook getting traded to Washington is going to impact Beal's usage, so expect dips across the board in points, rebounds, and assists"
John Collins,46,48.53,3.0607,0.2155,-0.1267,0.8802,1.4796,-0.5563,-0.342,1.4366,-0.3911,"Capela and Gallinari will impact his output, but he's got great shooting %s, which will keep his value high as his counting stats take a dip from last season"
Zach LaVine,49,44.98,-0.2627,0.8459,1.8315,1.9581,0.0164,0.9552,1.2213,-0.073,-2.1923,"It's debatable whether LaVine is a good-stats-bad-team guy, but you can't deny the numbers he's putting up and should continue to flirt with top 30-40 value this season."
Rudy Gobert,35,35.16,4.8175,-3.9217,-1.7509,0.3562,3.6702,-0.5506,-0.4641,3.8229,-0.4503,"Sometimes players have the reputation of being such a good defender, that teams shoot less around them, and that's what's happening to Gobert. He's still an elite shot-blocker"
Russell Westbrook,14,16.59,0.1831,-0.912,-0.6796,1.9377,1.4837,3.5455,1.4411,-0.3896,-3.1285,Westbrook's shooting percentages are looking good now that he's attempting fewer 3-pointers and attacking the rim more. Expect his assists to bounce up a little without having to share the ball as much with Beal as he did with Harden
Ben Simmons,12,16.0,3.0957,-3.258,-1.7279,0.5978,1.3275,3.1297,2.98,0.1948,-2.3464,"An elite fantasy player in punt FT% builds, but it's hard to see him become a top-20 fantasy player until he starts to work on developing his outside game"
Kyle Lowry,40,49.37,-1.4813,1.946,1.2901,0.797,-0.074,2.6465,1.2946,-0.3652,-1.6235,"Had one of the best fantasy seasons of his career, and played a career-high in minutes. All at the age of 34"
Chris Paul,38,41.45,0.7719,1.7035,0.1497,0.5444,-0.0658,2.197,1.3434,-0.8522,-0.7821,"The history of small, 35-year-old point guards isn't on his side, but you can't deny the season he just had in OKC"
Shai Gilgeous-Alexander,19,23.87,0.1655,0.7977,0.0691,1.2819,0.6165,1.3092,1.0259,0.5113,-1.0073,He has managed to improve his fantasy output while maintaining his solid shooting percentages. Will be a quality fantasy option for years to come
Fred VanVleet,42,49.79,-1.6736,1.1321,1.4744,0.8143,-0.3863,2.4386,2.3693,-0.5357,-0.8651,"NBA Finals Fred has evolved into Regular Season VanVleet, and he's a fantasy stud. He'll continue to play a key role in Toronto moving forward"
